Logger started at: Sunday, April 1, 2012 9:51:32 PM EDT
Component: com.aptana.js.debug.core
Version: 3.0.3.1323811743
[51:32.987] Sent: >21*1333331492962*version<
[51:32.997] Recv: >1333331492962*1*1.7.2<
[51:33.12] Sent: >20*1333331492963*update<
[51:53.14] Sent: >36*1333331492964*option*monitorXHR*true<
[51:53.24] Recv: >1333331492964<
[51:53.28] Sent: >45*1333331492965*option*suspendOnFirstLine*false<
[51:53.29] Recv: >1333331492965<
[51:53.29] Sent: >46*1333331492966*option*suspendOnExceptions*false<
[51:53.29] Recv: >1333331492966<
[51:53.30] Sent: >41*1333331492967*option*suspendOnErrors*true<
[51:53.30] Recv: >1333331492967<
[51:53.30] Sent: >43*1333331492968*option*suspendOnKeywords*true<
[51:53.31] Recv: >1333331492968<
[51:53.31] Sent: >45*1333331492969*option*bypassConstructors*false<
[51:53.31] Recv: >1333331492969<
[51:53.31] Sent: >45*1333331492970*option*stepFiltersEnabled*false<
[51:53.31] Recv: >1333331492970<
[51:53.32] Sent: >30*1333331492971*detailFormatters<
[51:53.32] Recv: >1333331492971<
[51:53.69] Sent: >90*1333331492972*breakpoint*create*http://127.0.0.1:8020/ps2/WebContent/index.html*103*1*0**1<
[51:53.71] Recv: >1333331492972*created<
[51:53.71] Sent: >20*1333331492973*enable<
[51:53.73] Recv: >scripts*created*46|resource:///components/nsSafebrowsingApplication.js|anonymous|88|7*47|resource:///components/nsSessionStore.js|sss__extractHostsForCookies|2247|36<
[51:53.73] Recv: >1333331492973<
[51:53.74] Sent: >89*1333331492974*openUrl*http://127.0.0.1:8020/ps1-translate_game/contents/translate_game.js<
[51:53.77] Recv: >1333331492974<
[51:53.84] Recv: >scripts*created*48|resource://firebug_rjs/lib/domplate.js|anonymous|257|7<
[51:53.86] Recv: >scripts*created*50|resource://firebug_rjs/lib/domplate.js|anonymous|494|3<
[51:53.93] Recv: >resumed*start<
[51:53.94] Recv: >resumed*start<
[51:53.106] Recv: >scripts*created*60|resource://firebug_rjs/console/consoleInjector.js|anonymous|96|1<
[51:53.109] Recv: >scripts*created*62|resource:///components/ConsoleAPI.js|ConsoleAPI|53|1<
[51:53.109] Recv: >scripts*created*63|resource:///components/ConsoleAPI.js|genPropDesc|137|3<
[51:53.109] Recv: >scripts*created*64|resource:///components/ConsoleAPI.js|CA_log|81|2<
[51:53.110] Recv: >scripts*created*65|resource:///components/ConsoleAPI.js|CA_info|84|2<
[51:53.110] Recv: >scripts*created*66|resource:///components/ConsoleAPI.js|CA_warn|87|2<
[51:53.110] Recv: >scripts*created*67|resource:///components/ConsoleAPI.js|CA_error|90|2<
[51:53.110] Recv: >scripts*created*68|resource:///components/ConsoleAPI.js|CA_debug|93|2<
[51:53.110] Recv: >scripts*created*69|resource:///components/ConsoleAPI.js|CA_trace|96|2<
[51:53.111] Recv: >scripts*created*70|resource:///components/ConsoleAPI.js|CA_dir|100|2<
[51:53.111] Recv: >scripts*created*71|resource:///components/ConsoleAPI.js|CA_group|103|2<
[51:53.111] Recv: >scripts*created*72|resource:///components/ConsoleAPI.js|CA_groupCollapsed|106|2<
[51:53.111] Recv: >scripts*created*73|resource:///components/ConsoleAPI.js|CA_groupEnd|109|2<
[51:53.111] Recv: >scripts*created*74|resource:///components/ConsoleAPI.js|CA_time|112|2<
[51:53.111] Recv: >scripts*created*75|resource:///components/ConsoleAPI.js|CA_timeEnd|115|2<
[51:53.112] Recv: >scripts*created*76|resource:///components/ConsoleAPI.js|anonymous|155|1<
[51:53.112] Recv: >scripts*created*77|resource:///components/ConsoleAPI.js|CA_init|61|102<
[51:53.112] Recv: >scripts*created*78|resource:///components/ConsoleAPI.js|CA_observe|165|10<
[51:53.112] Recv: >scripts*created*79|resource:///components/ConsoleAPI.js|CA_notifyObservers|190|24<
[51:53.112] Recv: >scripts*created*80|resource:///components/ConsoleAPI.js|CA_PA_substitute|237|13<
[51:53.112] Recv: >scripts*created*81|resource:///components/ConsoleAPI.js|CA_processArguments|226|27<
[51:53.113] Recv: >scripts*created*82|resource:///components/ConsoleAPI.js|CA_getStackTrace|262|16<
[51:53.113] Recv: >scripts*created*83|resource:///components/ConsoleAPI.js|CA_beginGroup|283|2<
[51:53.113] Recv: >scripts*created*84|resource:///components/ConsoleAPI.js|CA_startTimer|309|17<
[51:53.113] Recv: >scripts*created*85|resource:///components/ConsoleAPI.js|CA_stopTimer|339|16<
[51:53.120] Recv: >opened*chrome://aptanadebugger/skin/main.html<
[51:53.121] Recv: >opened*chrome://aptanadebugger/skin/main.html<
[53:23.466] Sent: >10**terminate<
[53:23.468] Sent: >10**terminate<
----------End of file----------
