what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333401503247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401513551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401551638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401553876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401559193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401574700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401591966
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1333401603329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333401604241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333401608287
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1333401609880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401610657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401612044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401613988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401615515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401647859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401674952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401676712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401708436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1333401720092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333401722161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333401724704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333401728122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401810857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1333401831935
executed,command,com.aptana.editor.findbar,3.0.0.1326349361,"org.eclipse.ui.edit.findbar.findNextOrPrev",1333401835120
executed,command,com.aptana.editor.findbar,3.0.0.1326349361,"org.eclipse.ui.edit.findbar.findNextOrPrev",1333401835514
executed,command,com.aptana.editor.findbar,3.0.0.1326349361,"org.eclipse.ui.edit.findbar.findNextOrPrev",1333401835874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401856536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401869861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401870945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401883166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401914402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401926348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401933959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333401944169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333401945378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402066701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402127291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402168484
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333402170392
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333402172131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402225763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402298731
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1333402334401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402351418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402496903
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333402511889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333402590367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403041156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403059003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403188193
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1333403190370
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333403224182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403230832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1333403230912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403264941
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1333403265704
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333403293104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403297021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403310101
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1333403320511
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333403333760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403342849
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333403499835
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1333403499881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333403504370
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1333403505469
